,Furnishing,Tenant Preferred,Car Parking,Availability,Carpet Area,Floor,facing,overlooking,Bathroom,Balcony,Super Area,Ownership,Owner Resides,Dimensions,Property_Type,Project_name,Price
1108,Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,450 sqft,,,,2 BHK  House for Rent in Wilson Garden,-,"₹10,000"
1109,Unfurnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,600 sqft,,,,2 BHK  House for Rent in Varanasi Main Road,-,"₹8,000"
1110,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 2,,,1,,600 sqft,,,,1 BHK  House for Rent in Kengeri Satellite Town,-,"₹6,500"
1111,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 4,,,2,,1180 sqft,,,,"2 BHK Apartment for Rent in Singasandra, Hosur Road",Yuva Eka,"₹25,000"
1112,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,400 sqft,,,,1 BHK  House for Rent in Gottigere,-,"₹7,500"
1113,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 3,,,1,,750 sqft,,,,1 BHK  House for Rent in Subramanyapura,-,"₹8,000"
1114,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 2,,,1,,900 sqft,,,,2 BHK  House for Rent in Vijayanagar,-,"₹11,000"
1115,Unfurnished,Bachelors/Family,,Immediately,,14 out of 15,,,2,,900 sqft,,,,2 BHK Apartment for Rent in whitefield,-,"₹50,000"
1116,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 2,,,3,,1500 sqft,,,,3 BHK  House for Rent in Margondanahalli,-,"₹13,000"
1117,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,550 sqft,,,,1 BHK  House for Rent in K R Puram,-,"₹6,500"
1118,Furnished,Bachelors/Family,,Immediately,,1 out of 5,,,1,,550 sqft,,,,1 BHK  House for Rent in Jayanagar,-,"₹13,000"
1119,Unfurnished,Bachelors/Family,,Immediately,,1 out of 4,,,2,,1300 sqft,,,,3 BHK  House for Rent in Banashankari,-,"₹20,000"
1120,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 1,,,2,,650 sqft,,,,"2 BHK  House for Rent in Peenya Industrial Area, Tumkur Road",-,"₹13,000"
1121,Semi-Furnished,Bachelors/Family,,From Feb '23,,3 out of 4,,,1,,600 sqft,,,,"1 BHK Builder Floor for Rent in Hoodi, Hoodi",-,"₹15,000"
1122,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,450 sqft,,,,1 BHK  House for Rent in Ganga Nagar,-,"₹15,000"
1123,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 5,,,2,,600 sqft,,,,2 BHK  House for Rent in Akshayanagar,-,"₹12,000"
1124,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 3,,,2,,800 sqft,,,,"2 BHK Builder Floor for Rent in Nal Layout, Jayanagar",-,"₹25,000"
1125,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,3,,1200 sqft,,,,3 BHK  House for Rent in J P Nagar,-,"₹28,000"
1126,Unfurnished,Bachelors/Family,,Immediately,,2 out of 4,,,1,,400 sqft,,,,1 BHK  House for Rent in Hongasandra,-,"₹6,000"
1127,Unfurnished,Bachelors/Family,,Immediately,,1 out of 2,,,1,,450 sqft,,,,1 BHK  House for Rent in Andrahalli,-,"₹5,500"
1128,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 5,,,1,,500 sqft,,,,1 BHK  House for Rent in Varthur,-,"₹8,500"
1129,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 4,,,2,,800 sqft,,,,2 BHK  House for Rent in J P Nagar,-,"₹16,000"
1130,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,2,,1300 sqft,,,,3 BHK Builder Floor for Rent in Cox Town,-,"₹30,000"
1131,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 3,,,2,,1200 sqft,,,,2 BHK Builder Floor for Rent in Varanasi,-,"₹12,000"
1132,Unfurnished,Bachelors/Family,,Immediately,,6 out of 10,,,2,,600 sqft,,,,2 BHK Apartment for Rent in Thirumagondanahalli,-,"₹15,000"
1133,Unfurnished,Bachelors/Family,,Immediately,,1 out of 2,,,1,,500 sqft,,,,"1 BHK  House for Rent in Itpl, Whitefield",-,"₹8,000"
1134,Furnished,Bachelors/Family,,Immediately,,1 out of 5,,,2,,1100 sqft,,,,2 BHK Builder Floor for Rent in Electronic City,-,"₹25,000"
1135,Semi-Furnished,Bachelors/Family,,Immediately,,5 out of 6,,,3,,1667 sqft,,,,"3 BHK Apartment for Rent in Singasandra, Hosur Road",-,"₹29,000"
1136,Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,2,,800 sqft,,,,2 BHK Apartment for Rent in Choodasandra,-,"₹13,500"
1137,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,500 sqft,,,,1 BHK  House for Rent in Btm Layout,-,"₹12,500"
1138,Unfurnished,Bachelors/Family,,From Feb '23,,2 out of 3,,,1,,900 sqft,,,,2 BHK  House for Rent in Kengeri Satellite Town,-,"₹12,000"
1139,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,900 sqft,,,,2 BHK  House for Rent in Sarjapur,-,"₹12,000"
1140,Semi-Furnished,Bachelors,,From Feb '23,,1 out of 3,East,,3,,1965 sqft,,,,3 BHK Builder Floor for Rent in Hbr Layout,-,"₹32,000"
1141,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,400 sqft,,,,1 BHK  House for Rent in Nagasandra,-,"₹6,000"
1142,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 4,,,1,,400 sqft,,,,1 BHK  House for Rent in Banashankari,-,"₹7,000"
1143,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,2,,800 sqft,,,,2 BHK  House for Rent in Harohalli,-,"₹8,500"
1144,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,2,,750 sqft,,,,2 BHK  House for Rent in Bilekahalli,-,"₹18,000"
1145,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,800 sqft,,,,1 BHK  House for Rent in Nandini Layout,-,"₹7,500"
1146,Unfurnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,400 sqft,,,,"1 BHK  House for Rent in Murugeshpalya, Airport Road",-,"₹8,500"
1147,Unfurnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,300 sqft,,,,1 BHK  House for Rent in Basaveshwara Layout,-,"₹5,000"
1148,Furnished,Bachelors/Family,,Immediately,,1 out of 2,,,1,,400 sqft,,,,1 BHK  House for Rent in Basaveshvara Nagar,-,"₹13,000"
1149,Semi-Furnished,Bachelors/Family,,Immediately,,9 out of 28,,,2,,983 sqft,,,,2 BHK Apartment for Rent in Tumkur Road,Prestige Jindal City,"₹28,000"
1150,Furnished,Bachelors/Family,,Immediately,,2 out of 4,,,2,,1260 sqft,,,,2 BHK Builder Floor for Rent in Battarahalli,-,"₹34,000"
1151,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,2,,950 sqft,,,,2 BHK  House for Rent in Rmv Extension Stage 2,-,"₹16,000"
1152,Semi-Furnished,Bachelors/Family,,From Feb '23,,4 out of 5,,,3,,1350 sqft,,,,3 BHK Builder Floor for Rent in Kadubeesanahalli,-,"₹30,000"
1153,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 5,,,2,,1200 sqft,,,,2 BHK  House for Rent in Jalahalli West,-,"₹15,000"
1154,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 2,,,1,,600 sqft,,,,"1 BHK  House for Rent in Hormavu, Bangalore",-,"₹7,000"
1155,Semi-Furnished,Bachelors/Family,,Immediately,,4 out of 5,,,2,,800 sqft,,,,2 BHK Builder Floor for Rent in Tani Chandra,-,"₹11,000"
1156,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 4,,,1,,400 sqft,,,,"1 BHK  House for Rent in Mahalakshmipuram Layout, Mahalakshmipuram",-,"₹8,500"
1157,Unfurnished,Bachelors/Family,,Immediately,,1 out of 3,,,2,,1350 sqft,,,,3 BHK Builder Floor for Rent in Nagapura,-,"₹35,000"
1158,Furnished,Bachelors/Family,,Immediately,,4 out of 8,,,2,,1300 sqft,,,,2 BHK Apartment for Rent in Nagavara,-,"₹33,000"
1159,Unfurnished,Bachelors/Family,,Immediately,,1 out of 2,,,2,,1200 sqft,,,,2 BHK  House for Rent in MM Layout,-,"₹15,000"
1160,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,300 sqft,,,,1 BHK  House for Rent in Vidyaranyapura,-,"₹5,000"
1161,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 3,,,1,,400 sqft,,,,1 BHK Builder Floor for Rent in Banashankari,-,"₹5,500"
1162,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 2,,,2,,600 sqft,,,,2 BHK  House for Rent in Margondanahalli,-,"₹7,500"
1163,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,1,,900 sqft,,,,2 BHK  House for Rent in RR Nagar,-,"₹14,500"
1164,Semi-Furnished,Bachelors/Family,,From Feb '23,,3 out of 4,,,2,,700 sqft,,,,2 BHK Builder Floor for Rent in Kasturi Nagar,-,"₹18,000"
1165,Semi-Furnished,Bachelors/Family,,From Feb '23,,1 out of 5,,,2,,1150 sqft,,,,2 BHK Apartment for Rent in whitefield,Jaya Advaitham,"₹17,500"
1166,Unfurnished,Bachelors/Family,,Immediately,,5 out of 6,,,1,,300 sqft,,,,1 BHK  House for Rent in Koramangala,-,"₹10,000"
1167,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 5,,,2,,600 sqft,,,,2 BHK Builder Floor for Rent in Hulimavu,-,"₹11,000"
1168,Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,3,,2400 sqft,,,,3 BHK Builder Floor for Rent in Basavanagudi,-,"₹50,000"
1169,Unfurnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,1200 sqft,,,,1 BHK  House for Rent in Rajarajeshwari Nagar,-,"₹9,500"
1170,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 3,,,2,,1000 sqft,,,,2 BHK  House for Rent in Vidyaranyapura,-,"₹10,000"
1171,Unfurnished,Bachelors/Family,,Immediately,,1 out of 4,,,1,,350 sqft,,,,1 BHK  House for Rent in Bagalakunte,-,"₹5,500"
1172,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 4,,,1,,620 sqft,,,,"1 BHK  House for Rent in Devinagar, Outer Ring Road",-,"₹7,000"
1173,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,600 sqft,,,,1 BHK  House for Rent in Kengeri,-,"₹9,000"
1174,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,300 sqft,,,,1 BHK  House for Rent in Kammanahalli,-,"₹6,000"
1175,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 2,,,1,,600 sqft,,,,"1 BHK  House for Rent in Jp Nagar Phase 2, J P Nagar",-,"₹9,000"
1176,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 4,,,2,,800 sqft,,,,2 BHK  House for Rent in Yelahanka,-,"₹23,000"
1177,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 2,,,2,,800 sqft,,,,2 BHK  House for Rent in Margondanahalli,-,"₹18,000"
1178,Unfurnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,500 sqft,,,,1 BHK  House for Rent in Padmanabha Nagar,-,"₹8,000"
1179,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 3,,,1,,400 sqft,,,,1 BHK  House for Rent in Nagarur,-,"₹5,550"
1180,Unfurnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,600 sqft,,,,"1 BHK  House for Rent in Jalahalli, Jalahalli, Outer Ring Road",-,"₹6,000"
1181,Furnished,Bachelors/Family,,Immediately,,2 out of 4,,,2,,800 sqft,,,,2 BHK Builder Floor for Rent in Kengeri Satellite Town,-,"₹15,500"
1182,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 2,,,1,,600 sqft,,,,2 BHK  House for Rent in Banashankari,-,"₹10,000"
1183,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,2,,900 sqft,,,,2 BHK  House for Rent in Hbr Layout,-,"₹20,000"
1184,Unfurnished,Bachelors/Family,,From Feb '23,,2 out of 3,,,1,,500 sqft,,,,1 BHK  House for Rent in Btm Layout,-,"₹12,500"
1185,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 4,,,1,,1200 sqft,,,,2 BHK Builder Floor for Rent in Benson Town,-,"₹11,000"
1186,Unfurnished,Bachelors/Family,,Immediately,,,,,1,1,500 sqft,,,,1 BHK  House for Rent in K R Puram,-,"₹6,500"
1187,Semi-Furnished,Bachelors/Family,,Immediately,,,,,1,,400 sqft,,,,1 BHK  House for Rent in Vijayanagar,-,"₹7,000"
1188,Unfurnished,Bachelors/Family,,Immediately,,2 out of 5,,,2,,1099 sqft,,,,2 BHK Apartment for Rent in Nagavara,-,"₹15,000"
1189,Unfurnished,Bachelors/Family,,Immediately,,,,,2,,700 sqft,,,,2 BHK  House for Rent in Rmv Extension Stage 2,-,"₹10,000"
1190,Unfurnished,Bachelors/Family,,Immediately,,,,,1,,300 sqft,,,,1 BHK  House for Rent in Kumbalagodu,-,"₹5,000"
1191,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,,600 sqft,,,,2 BHK  House for Rent in Horamavu,-,"₹14,000"
1192,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,1,550 sqft,,,,2 BHK  House for Rent in Ramamurthy Nagar,-,"₹11,000"
1193,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,1,,800 sqft,,,,2 BHK Builder Floor for Rent in Kengeri Satellite Town,-,"₹12,000"
1194,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,,,,3,2,1150 sqft,,,,3 BHK  House for Rent in Chamrajpet,-,"₹25,000"
1195,Unfurnished,Bachelors/Family,,Immediately,,,,,2,,1125 sqft,,,,2 BHK  House for Rent in Chikkabanavara,-,"₹10,500"
1196,Unfurnished,Bachelors/Family,,Immediately,,,,,1,,700 sqft,,,,2 BHK  House for Rent in Kengeri,-,"₹8,000"
1197,Unfurnished,Bachelors/Family,,Immediately,,Ground out of 5,,,2,,900 sqft,,,,2 BHK Apartment for Rent in Sunkalpalya,-,"₹16,000"
1198,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 5,,,2,,1145 sqft,,,,2 BHK Apartment for Rent in C V Raman Nagar,-,"₹33,000"
1199,Semi-Furnished,Bachelors/Family,,Immediately,,,,,1,1,450 sqft,,,,1 BHK  House for Rent in Ramamurthy Nagar,-,"₹8,000"
1200,Unfurnished,Bachelors/Family,,Immediately,,,,,1,,350 sqft,,,,1 BHK  House for Rent in Rajajinagar,-,"₹8,500"
1201,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,,1100 sqft,,,,2 BHK  House for Rent in Kammanahalli,-,"₹19,000"
1202,Semi-Furnished,Bachelors/Family,,Immediately,,,,,1,,350 sqft,,,,"1 BHK  House for Rent in Hosa Road, off Hosur Road",-,"₹7,000"
1203,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,,800 sqft,,,,2 BHK  House for Rent in Battarahalli,-,"₹13,500"
1204,,Bachelors/Family,,Immediately,,,,,1,,600 sqft,,,,1 BHK  House for Rent in whitefield,-,"₹11,000"
1205,Semi-Furnished,Bachelors/Family,,Immediately,,,,,1,,600 sqft,,,,1 BHK  House for Rent in Nagarabhavi,-,"₹7,500"
1206,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,,1100 sqft,,,,"2 BHK  House for Rent in Vidyamanya Nagar, Sunkadakatte",-,"₹12,000"
1207,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,,900 sqft,,,,2 BHK  House for Rent in Avalahalli,-,"₹13,000"
1208,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,,,2,,600 sqft,,,,2 BHK Builder Floor for Rent in Vidyaranyapura,-,"₹12,000"
1209,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,,750 sqft,,,,2 BHK  House for Rent in Kanakapura Road,-,"₹9,000"
1210,Semi-Furnished,Bachelors/Family,,Immediately,,,,,1,,1200 sqft,,,,2 BHK  House for Rent in Hsr Layout,-,"₹25,000"
